OwnerName,APN,SitusAddress,SitusCity,SitusZip,SubdivisionID,SubdivisionName,Mcr,SectionTownshipRange,IsRental,Weight,PropertyDescription,OwnerMailingAddress,McrNumber,PropertyType,PUCCode,ImprFCV,LandFCV,Neighborhood,MarketArea,Stories,LandSize,SalePrice,SaleDate,FullCashValue,LivableSqFootage,ConstructionYear,WeightedAge,PoolArea,Foreclosed,Floor1SqFt,Floor2SqFt,Floor3SqFt,BasementSqFt,Pool,Garage
ST JOSEPH MARONITE PHOENIX PHOENIX REAL ES TR,"{'Book': '126', 'Map': '24', 'Item': '010A', 'clean': '12624010A', 'formatted': '126-24-010A', 'link': '/api/parcel/12624010A'}","5406 E VIRGINIA AVE PHOENIX, AZ 85008",PHOENIX,85008,4222,ORANGEDALE PLACE,1641,32-2N-4E,FALSE,161510,Religious Use,"1021 S 10TH ST ST LOUIS, MO 63104",1641,CM,9270,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
MADISON GARDENS/PHOENIX LP,"{'Book': '162', 'Map': '07', 'Item': '232', 'clean': '16207232', 'formatted': '162-07-232', 'link': '/api/parcel/16207232'}","808 E MISSOURI AVE #PHOENIX PHOENIX, AZ 85014",PHOENIX,85014,10006,MADISON GARDENS SENIOR COMMUNITY,111246,16-2N-3E,FALSE,142511,Apartment,"4745 N 7TH ST STE 110 PHOENIX, AZ 85014",111246,CM,374,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
IGLESIA DE DIOS 7 MO DIA PHX,"{'Book': '106', 'Map': '08', 'Item': '139A', 'clean': '10608139A', 'formatted': '106-08-139A', 'link': '/api/parcel/10608139A'}","3646 W LATHAM ST PHOENIX, AZ 85009",PHOENIX,85009,1333,WEST PHOENIX NO 4,3030,03-1N-2E,FALSE,112572,Religious Use,"3646 W LATHAM ST PHOENIX, AZ 85009",3030,CM,9270,86500,21600,1,22,1,3237,0,,108100,1028,1927,1927,0,FALSE,1028,0,0,0,FALSE,FALSE
IGLESIA DE DIOS 7 MO DIA PHX,"{'Book': '106', 'Map': '08', 'Item': '139B', 'clean': '10608139B', 'formatted': '106-08-139B', 'link': '/api/parcel/10608139B'}","3646 W LATHAM ST PHOENIX, AZ 85009",PHOENIX,85009,1333,WEST PHOENIX NO 4,3030,03-1N-2E,FALSE,112572,Religious Use,"3646 W LATHAM ST PHOENIX, AZ 85009",3030,CM,9270,46400,11600,1,22,1,3232,0,,58000,680,1927,1927,0,FALSE,680,0,0,0,FALSE,FALSE
IGLESIA DE DIOS 7 MO DIA PHX,"{'Book': '106', 'Map': '08', 'Item': '141', 'clean': '10608141', 'formatted': '106-08-141', 'link': '/api/parcel/10608141'}","3646 W LATHAM ST PHOENIX, AZ 85009",PHOENIX,85009,1333,WEST PHOENIX NO 4,3030,03-1N-2E,FALSE,112572,Religious Use,"3646 W LATHAM ST PHOENIX, AZ 85009",3030,CM,9270,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
DOWNTOWN PHX STORAGE LLC,"{'Book': '112', 'Map': '19', 'Item': '022B', 'clean': '11219022B', 'formatted': '112-19-022B', 'link': '/api/parcel/11219022B'}","426 W JACKSON ST PHOENIX, AZ 85003",PHOENIX,85003,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112572,Warehouse,"802 N 3RD AVE PHOENIX, AZ 85003",251,CM,3710,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
MASONIC TEMPLE ASSN OF PHX INC,"{'Book': '112', 'Map': '20', 'Item': '074A', 'clean': '11220074A', 'formatted': '112-20-074A', 'link': '/api/parcel/11220074A'}","345 W MONROE ST PHOENIX, AZ 85003",PHOENIX,85003,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112572,Club/Lodge,"345 W MONROE PHOENIX, AZ 85003",251,CM,9160,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
MASONIC TEMPLE ASSN OF PHX INC,"{'Book': '112', 'Map': '20', 'Item': '076', 'clean': '11220076', 'formatted': '112-20-076', 'link': '/api/parcel/11220076'}","345 W MONROE ST PHOENIX, AZ 85003",PHOENIX,85003,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112572,Club/Lodge,"345 W MONROE PHOENIX, AZ 85003",251,CM,9160,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
MASONIC TEMPLE ASSN OF PHX INC,"{'Book': '112', 'Map': '20', 'Item': '077', 'clean': '11220077', 'formatted': '112-20-077', 'link': '/api/parcel/11220077'}","345 W MONROE ST PHOENIX, AZ 85003",PHOENIX,85003,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112572,Club/Lodge,"345 W MONROE PHOENIX, AZ 85003",251,CM,9160,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
GN NET LEASE (PHX NORTHGATE) INVESTORS LLC,"{'Book': '208', 'Map': '14', 'Item': '856', 'clean': '20814856', 'formatted': '208-14-856', 'link': '/api/parcel/20814856'}","2625 W GRANDVIEW RD PHOENIX, AZ 85023",PHOENIX,85023,15207,PHOENIX NORTHGATE AMD,47031,01-3N-2E,FALSE,112572,State Property,"1616 W ADAMS ST PHOENIX, AZ 85007",47031,CM,9528,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '102', 'Map': '18', 'Item': '779', 'clean': '10218779', 'formatted': '102-18-779', 'link': '/api/parcel/10218779'}","9402 W INDIAN SCHOOL RD PHOENIX, AZ 85037",PHOENIX,85037,267,CITY OF PHOENIX PRV STATION,66548,21-2N-1E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",66548,CM,9720,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '105', 'Map': '25', 'Item': '026', 'clean': '10525026', 'formatted': '105-25-026', 'link': '/api/parcel/10525026'}","2631 S 22ND AVE PHOENIX, AZ 85009",PHOENIX,85009,1152,CITY OF PHOENIX WELDING,114918,13-1N-2E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",114918,CM,9720,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '105', 'Map': '41', 'Item': '008', 'clean': '10541008', 'formatted': '105-41-008', 'link': '/api/parcel/10541008'}","2425 W LOWER BUCKEYE RD PHOENIX, AZ 85009",PHOENIX,85009,1174,PHOENIX FIRE TRAINING ACADEMY,104123,24-1N-2E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",104123,CM,9770,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '105', 'Map': '55', 'Item': '128', 'clean': '10555128', 'formatted': '105-55-128', 'link': '/api/parcel/10555128'}","2068 W WAYLAND RD PHOENIX, AZ 85041",PHOENIX,85041,1186,PARK PHOENIX 2,9636,25-1N-2E,TRUE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",9636,RD,9710,111100,27700,4,4,1,6504,0,,138800,1180,1961,1961,0,FALSE,1180,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '105', 'Map': '75', 'Item': '304A', 'clean': '10575304A', 'formatted': '105-75-304A', 'link': '/api/parcel/10575304A'}","2294 W PECAN RD PHOENIX, AZ 85041",PHOENIX,85041,1226,PARK PHOENIX 3,9720,25-1N-2E,TRUE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",9720,RD,9710,142500,35600,4,4,1,6399,0,,178100,1904,1972,1972,0,FALSE,1904,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '105', 'Map': '75', 'Item': '350A', 'clean': '10575350A', 'formatted': '105-75-350A', 'link': '/api/parcel/10575350A'}","2276 W SOUTHERN AVE PHOENIX, AZ 85041",PHOENIX,85041,1226,PARK PHOENIX 3,9720,25-1N-2E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",9720,LD,9700,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '105', 'Map': '75', 'Item': '351A', 'clean': '10575351A', 'formatted': '105-75-351A', 'link': '/api/parcel/10575351A'}","2276 W SOUTHERN AVE PHOENIX, AZ 85041",PHOENIX,85041,1226,PARK PHOENIX 3,9720,25-1N-2E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",9720,CM,9770,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '107', 'Map': '02', 'Item': '067F', 'clean': '10702067F', 'formatted': '107-02-067F', 'link': '/api/parcel/10702067F'}","4149 W GLENROSA AVE PHOENIX, AZ 85019",PHOENIX,85019,1383,SANTA-FE PHOENIX INDUSTRIAL UNIT NO. 1,10106,22-2N-2E,FALSE,112511,Exempt,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",10106,CM,9374,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '111', 'Map': '35', 'Item': '104', 'clean': '11135104', 'formatted': '111-35-104', 'link': '/api/parcel/11135104'}","1221 N CENTRAL AVE PHOENIX, AZ 85004",PHOENIX,85004,1815,NEW PHOENIX CENTRAL LIBRARY,36232,05-1N-3E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",36232,CM,9780,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '111', 'Map': '42', 'Item': '114', 'clean': '11142114', 'formatted': '111-42-114', 'link': '/api/parcel/11142114'}","300 N CENTRAL AVE PHOENIX, AZ 85004",PHOENIX,85004,1876,PHOENIX CENTRAL STATION,42547,05-1N-3E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",42547,CM,9720,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
